model,language,average_token_length
EleutherAI/gpt-neo-125m,de,2.810126582278481
EleutherAI/gpt-neo-125m,en,4.657894736842105
EleutherAI/gpt-neo-125m,uk,1.606060606060606
EleutherAI/gpt-neo-125m,zh,1.452054794520548
EleutherAI/gpt-neo-125m,ar,1.7736842105263158
EleutherAI/gpt-neo-125m,pt,3.057142857142857
EleutherAI/gpt-neo-125m,ru,1.6943231441048034
EleutherAI/gpt-neo-125m,cs,2.2962962962962963
EleutherAI/gpt-neo-125m,es,3.0422535211267605
EleutherAI/gpt-neo-125m,nl,2.2941176470588234
EleutherAI/gpt-neo-125m,ca,2.739130434782609
bigscience/bloom-7b1,de,3.7
bigscience/bloom-7b1,en,4.657894736842105
bigscience/bloom-7b1,uk,3.212121212121212
bigscience/bloom-7b1,zh,5.578947368421052
bigscience/bloom-7b1,ar,7.326086956521739
bigscience/bloom-7b1,pt,5.35
bigscience/bloom-7b1,ru,3.8415841584158414
bigscience/bloom-7b1,cs,2.48
bigscience/bloom-7b1,es,6.352941176470588
bigscience/bloom-7b1,nl,2.736842105263158
bigscience/bloom-7b1,ca,4.973684210526316
utter-project/EuroLLM-1.7B,de,5.116279069767442
utter-project/EuroLLM-1.7B,en,4.564102564102564
utter-project/EuroLLM-1.7B,uk,3.3970588235294117
utter-project/EuroLLM-1.7B,zh,1.8125
utter-project/EuroLLM-1.7B,ar,3.0163934426229506
utter-project/EuroLLM-1.7B,pt,4.326530612244898
utter-project/EuroLLM-1.7B,ru,3.380952380952381
utter-project/EuroLLM-1.7B,cs,1.6486486486486487
utter-project/EuroLLM-1.7B,es,5.605263157894737
utter-project/EuroLLM-1.7B,nl,3.738095238095238
utter-project/EuroLLM-1.7B,ca,4.113636363636363
ai-forever/mGPT,de,5.162790697674419
ai-forever/mGPT,en,4.425
ai-forever/mGPT,uk,3.563025210084034
ai-forever/mGPT,zh,3.6551724137931036
ai-forever/mGPT,ar,5.265625
ai-forever/mGPT,pt,4.115384615384615
ai-forever/mGPT,ru,6.360655737704918
ai-forever/mGPT,cs,2.2962962962962963
ai-forever/mGPT,es,5.4
ai-forever/mGPT,nl,3.3191489361702127
ai-forever/mGPT,ca,3.78
facebook/opt-125m,de,2.810126582278481
facebook/opt-125m,en,4.657894736842105
facebook/opt-125m,uk,1.606060606060606
facebook/opt-125m,zh,1.452054794520548
facebook/opt-125m,ar,1.7736842105263158
facebook/opt-125m,pt,3.057142857142857
facebook/opt-125m,ru,1.6943231441048034
facebook/opt-125m,cs,2.2962962962962963
facebook/opt-125m,es,3.0422535211267605
facebook/opt-125m,nl,2.2941176470588234
facebook/opt-125m,ca,2.739130434782609
facebook/opt-2.7b,de,2.810126582278481
facebook/opt-2.7b,en,4.657894736842105
facebook/opt-2.7b,uk,1.606060606060606
facebook/opt-2.7b,zh,1.452054794520548
facebook/opt-2.7b,ar,1.7736842105263158
facebook/opt-2.7b,pt,3.057142857142857
facebook/opt-2.7b,ru,1.6943231441048034
facebook/opt-2.7b,cs,2.2962962962962963
facebook/opt-2.7b,es,3.0422535211267605
facebook/opt-2.7b,nl,2.2941176470588234
facebook/opt-2.7b,ca,2.739130434782609
meta-llama/Llama-3.2-3B,de,4.352941176470588
meta-llama/Llama-3.2-3B,en,4.783783783783784
meta-llama/Llama-3.2-3B,uk,5.5064935064935066
meta-llama/Llama-3.2-3B,zh,3.7857142857142856
meta-llama/Llama-3.2-3B,ar,5.029850746268656
meta-llama/Llama-3.2-3B,pt,3.8214285714285716
meta-llama/Llama-3.2-3B,ru,5.542857142857143
meta-llama/Llama-3.2-3B,cs,2.066666666666667
meta-llama/Llama-3.2-3B,es,4.595744680851064
meta-llama/Llama-3.2-3B,nl,3.25
meta-llama/Llama-3.2-3B,ca,3.5660377358490565
gpt2,de,2.810126582278481
gpt2,en,4.657894736842105
gpt2,uk,1.606060606060606
gpt2,zh,1.452054794520548
gpt2,ar,1.7736842105263158
gpt2,pt,3.057142857142857
gpt2,ru,1.6943231441048034
gpt2,cs,2.2962962962962963
gpt2,es,3.0422535211267605
gpt2,nl,2.2941176470588234
gpt2,ca,2.739130434782609
tiiuae/falcon-7b,de,4.352941176470588
tiiuae/falcon-7b,en,4.538461538461538
tiiuae/falcon-7b,uk,1.781512605042017
tiiuae/falcon-7b,zh,2.163265306122449
tiiuae/falcon-7b,ar,1.8118279569892473
tiiuae/falcon-7b,pt,3.5081967213114753
tiiuae/falcon-7b,ru,1.8564593301435406
tiiuae/falcon-7b,cs,1.9375
tiiuae/falcon-7b,es,4.595744680851064
tiiuae/falcon-7b,nl,3.183673469387755
tiiuae/falcon-7b,ca,3.4363636363636365
gpt2-xl,de,2.810126582278481
gpt2-xl,en,4.657894736842105
gpt2-xl,uk,1.606060606060606
gpt2-xl,zh,1.452054794520548
gpt2-xl,ar,1.7736842105263158
gpt2-xl,pt,3.057142857142857
gpt2-xl,ru,1.6943231441048034
gpt2-xl,cs,2.2962962962962963
gpt2-xl,es,3.0422535211267605
gpt2-xl,nl,2.2941176470588234
gpt2-xl,ca,2.739130434782609
